name,link,dir_cn
Mike Leigh,/name/nm0005139/,"Salford, Greater Manchester, England, UK"
Julian Schnabel,/name/nm0773603/,"Brooklyn, New York, USA"
Alfonso Cuarón,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
David Fincher,/name/nm0000399/,"Denver, Colorado, USA"
Asghar Farhadi,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Andrew Stanton,/name/nm0004056/,"Boston, Massachusetts, USA"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
Richard Linklater,/name/nm0000500/,"Houston, Texas, USA"
Nanni Moretti,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy"
Mariano Llinás,/name/nm1183471/,"Buenos Aires, Argentina"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
David Fincher,/name/nm0000399/,"Denver, Colorado, USA"
Gus Van Sant,/name/nm0001814/,"Louisville, Kentucky, USA"
Apichatpong Weerasethakul,/name/nm0917405/,"Bangkok, Thailand"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Pedro Almodóvar,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Hou Hsiao-hsien,/name/nm0396284/,"Meixian, Guangdong, China"
Clint Eastwood,/name/nm0000142/,"San Francisco, California, USA"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Andrey Zvyagintsev,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Jia Zhangke,/name/nm0422605/,"Fenyang, Shanxi, China"
Nuri Bilge Ceylan,/name/nm0149196/,"Istanbul, Turkey"
Terrence Malick,/name/nm0000517/,"Ottawa, Illinois, USA"
Jacques Audiard,/name/nm0002191/,"Paris, France"
Abderrahmane Sissako,/name/nm0803066/,"Kiffa, Mauritania"
Abdellatif Kechiche,/name/nm0444244/,"Tunis, Tunisia"
Ousmane Sembèène,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
Asghar Farhadi,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Juan José Campanella,/name/nm0002728/,"Buenos Aires, Argentina"
Park Chan-wook,/name/nm0661791/,"Seoul, South Korea"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Catherine Breillat,/name/nm0106924/,"Bressuire, Deux-Sèvres, France"
J. A. Bayona,/name/nm1291105/,"Barcelona, Catalonia, Spain"
Thomas Vinterberg,/name/nm0899121/,"Copenhagen, Denmark"
Harmony Korine,/name/nm0005101/,"Bolinas, California, USA"
Guy Maddin,/name/nm0534665/,"Winnipeg, Manitoba, Canada"
Roman Polanski,/name/nm0000591/,"Paris, France"
Baz Luhrmann,/name/nm0525303/,"New South Wales, Australia"
George Lucas,/name/nm0000184/,"Modesto, California, USA"
David Fincher,/name/nm0000399/,"Denver, Colorado, USA"
Roy Andersson,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden"
Bong Joon-ho,/name/nm0094435/,"Daegu, South Korea"
Ousmane Sembène,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
Abderrahmane Sissako,/name/nm0803066/,"Kiffa, Mauritania"
Jihan El-Tahri,/name/nm1911613/,NaN
Mahamat-Saleh Haroun,/name/nm0757958/,"Abéché, Chad"
Ngozi Onwurah,/name/nm0648937/,Nigeria
Bazi Gete,/name/nm6514631/,NaN
Jean-Marie Téno,/name/nm0879403/,"Famleng, Cameroon"
Andrew Dosunmu,/name/nm0234506/,NaN
Khalo Matabane,/name/nm1988834/,NaN
Amma Asante,/name/nm1392994/,"Streatham, London, England, UK"
Darren Aronofsky,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
Lars von Trier,/name/nm0001885/,"Copenhagen, Denmark"
Alfonso Cuarón,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Jean-Pierre and Luc Dardenne,/name/nm0201094/,"Engis, Wallonia, Belgium"
Andrea Arnold,/name/nm0036349/,"Dartford, Kent, England, UK"
Terrence Malick,/name/nm0000517/,"Ottawa, Illinois, USA"
Christopher Nolan,/name/nm0634240/,"London, England, UK"
Quentin Tarantino,/name/nm0000233/,"Knoxville, Tennessee, USA"
Gaspar Noé,/name/nm0637615/,"Buenos Aires, Argentina"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
Asghar Farhadi,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Jacques Audiard,/name/nm0002191/,"Paris, France"
Mira Nair,/name/nm0619762/,"Bhubaneshwar, Orissa, India"
László Nemes,/name/nm1841577/,"Budapest, Hungary"
Raam Reddy,/name/nm5339365/,NaN
Abdellatif Kechiche,/name/nm0444244/,"Tunis, Tunisia"
Danis Tanovic,/name/nm0849786/,"Zenica, Bosnia and Herzegovina, Yugoslavia"
Ari Folman,/name/nm0284369/,"Haifa, Israel"
Jean-Luc Godard,/name/nm0000419/,"Paris, France"
Martin Scorsese,/name/nm0000217/,"Queens, New York City, New York, USA"
Claude Lanzmann,/name/nm0487351/,"Bois-Colombes, Hauts-de-Seine, France"
Abbas Kiarostami,/name/nm0452102/,"Tehran, Iran"
Wes Anderson,/name/nm0027572/,"Houston, Texas, USA"
Josephine Decker,/name/nm2528451/,NaN
Miranda July,/name/nm0432380/,"Barre, Vermont, USA"
Leos Carax,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Sara Fattahi,/name/nm7986571/,NaN
Cristian Mungiu,/name/nm0612816/,"Iasi, Romania"
