name,link
Evolution of a Filipino Family,/title/tt0424062/
Pulse,/title/tt0286751/
Cave of Forgotten Dreams,/title/tt1664894/
Heaven's Story,/title/tt1685536/
"Norte, the End of History",/title/tt2852432/
Spirited Away,/title/tt0245429/
"Crouching Tiger, Hidden Dragon",/title/tt0190332/
There Will Be Blood,/title/tt0469494/
The Pianist,/title/tt0253474/
Lincoln,/title/tt0443272/
Life of Pi,/title/tt0454876/
Mystic River,/title/tt0327056/
Son of Saul,/title/tt3808342/
American Hustle,/title/tt1800241/
The White Ribbon,/title/tt1149362/
After the Wedding,/title/tt7985692/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Boyhood,/title/tt1065073/
Memento,/title/tt0209144/
There Will Be Blood,/title/tt0469494/
The Dark Knight,/title/tt0468569/
Inside Llewyn Davis,/title/tt2042568/
Finding Nemo,/title/tt0266543/
Mad Max: Fury Road,/title/tt1392190/
Inglourious Basterds,/title/tt0361748/
Gravity,/title/tt1454468/
The Tree of Life,/title/tt0478304/
Yi Yi: A One and a Two,/title/tt0244316/
Secret Sunshine,/title/tt0817225/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Amour,/title/tt1602620/
I Am Love,/title/tt1226236/
Son of Saul,/title/tt3808342/
WALL-E,/title/tt0910970/
The Five Obstructions,/title/tt0354575/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,/title/tt0443453/
In the Mood for Love,/title/tt0118694/
Ida,/title/tt1869716/
Boyhood,/title/tt1065073/
Son of Saul,/title/tt3808342/
Nobody Knows,/title/tt0408664/
Talk to Her,/title/tt0287467/
Amores Perros,/title/tt0245712/
Wild Tales,/title/tt3011894/
Eldorado,/title/tt0061619/
Mommy,/title/tt3612616/
The Stuart Hall Project,/title/tt2578290/
Uncle Boonmee Who Can Recall His Past Lives,/title/tt1588895/
Waiting for Happiness,/title/tt0308363/
Something Necessary,/title/tt2400272/
Moolaadé,/title/tt0416991/
Sembène!,/title/tt4344782/
5 Broken Cameras,/title/tt2125423/
Hooligan Sparrow,/title/tt4079902/
7 Letters,/title/tt4691166/
"Synecdoche, New York",/title/tt0383028/
Brokeback Mountain,/title/tt0388795/
Weekend,/title/tt1714210/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
Spirited Away,/title/tt0245429/
How to Survive a Plague,/title/tt2124803/
Talk to Her,/title/tt0287467/
American Splendor,/title/tt0305206/
In the Mood for Love,/title/tt0118694/
Far From Heaven,/title/tt0297884/
The Tree of Life,/title/tt0478304/
Mad Max: Fury Road,/title/tt1392190/
25th Hour,/title/tt0307901/
An Injury to One,/title/tt0342570/
Love & Basketball,/title/tt3774694/
In the Mood for Love,/title/tt0118694/
Timbuktu,/title/tt3409392/
Once Upon a Time in Anatolia,/title/tt1827487/
It's Such a Beautiful Day,/title/tt2396224/
Actress,/title/tt0102816/
Lost in Translation,/title/tt0335266/
Carol,/title/tt2402927/
Yi Yi: A One and a Two,/title/tt0244316/
Dancer in the Dark,/title/tt0168629/
Certified Copy,/title/tt1020773/
The Wind Rises,/title/tt2013293/
World of Tomorrow,/title/tt4171032/
Mulholland Drive,/title/tt0166924/
35 Shots of Rum,/title/tt1100048/
Girl Walk: All Day,/title/tt2287749/
Inside Llewyn Davis,/title/tt2042568/
Almost Famous,/title/tt0181875/
Collateral,/title/tt0369339/
Brooklyn,/title/tt2381111/
Nightcrawler,/title/tt2872718/
Take Shelter,/title/tt1675192/
Fantastic Mr Fox,/title/tt1531905/
Senna,/title/tt1424432/
Frances Ha,/title/tt2347569/
Dogtooth,/title/tt1379182/
A Pigeon Sat on a Branch Reflecting on Existence,/title/tt1883180/
The Act of Killing,/title/tt2375605/
Dogtooth,/title/tt1379182/
Katyn,/title/tt0879843/
3-Iron,/title/tt0423866/
Caché,/title/tt0387898/
Mulholland Drive,/title/tt0166924/
The Congress,/title/tt1821641/
Sympathy for Mr Vengeance,/title/tt0310775/
"Synecdoche, New York",/title/tt0383028/
Yi Yi: A One and a Two,/title/tt0244316/
There Will Be Blood,/title/tt0469494/
Boyhood,/title/tt1065073/
Still Life,/title/tt2395417/
Archipelago,/title/tt1527835/
The Headless Woman,/title/tt1221141/
The Act of Killing,/title/tt2375605/
Caché,/title/tt0387898/
Divine Intervention,/title/tt0274428/
Crimson Gold,/title/tt0371280/
Zodiac,/title/tt0443706/
Inside Llewyn Davis,/title/tt2042568/
There Will Be Blood,/title/tt0469494/
Spider-Man 2,/title/tt0316654/
Oldboy,/title/tt0364569/
Inglourious Basterds,/title/tt0361748/
Frozen,/title/tt2294629/
25th Hour,/title/tt0307901/
Requiem for a Dream,/title/tt0180093/
Shaun of the Dead,/title/tt0365748/
There Will Be Blood,/title/tt0469494/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
Yi Yi: A One and a Two,/title/tt0244316/
Shame,/title/tt1723811/
Boyhood,/title/tt1065073/
The Social Network,/title/tt1285016/
Manchester by the Sea,/title/tt4034228/
Mulholland Drive,/title/tt0166924/
Head-On,/title/tt0347048/
In the Mood for Love,/title/tt0118694/
Sideways,/title/tt0375063/
The Social Network,/title/tt1285016/
"Synecdoche, New York",/title/tt0383028/
The Diving Bell and the Butterfly,/title/tt0401383/
Dogville,/title/tt0276919/
Short Term 12,/title/tt2370248/
WALL-E,/title/tt0910970/
Blue Valentine,/title/tt1120985/
The Squid and the Whale,/title/tt0367089/
A Serious Man,/title/tt1019452/
Jersey Boys,/title/tt1742044/
Moulin Rouge!,/title/tt0203009/
Nine Queens,/title/tt0247586/
Mia Madre,/title/tt0381392/
"Right Now, Wrong Then",/title/tt4768776/
Toy Story 3,/title/tt0435761/
Mad Max: Fury Road,/title/tt1392190/
Spirited Away,/title/tt0245429/
Adventureland,/title/tt1091722/
Open Range,/title/tt0316356/
The World,/title/tt0423176/
Profit Motive and the Whispering Wind,/title/tt1158308/
Inglourious Basterds,/title/tt0361748/
Pulse,/title/tt0286751/
Syndromes and a Century,/title/tt0477731/
In Jackson Heights,/title/tt4936064/
"Synecdoche, New York",/title/tt0383028/
Love Exposure,/title/tt1128075/
The Tree of Life,/title/tt0478304/
Casino Royale,/title/tt0381061/
Oldboy,/title/tt0364569/
Children of Men,/title/tt0206634/
Mulholland Drive,/title/tt0166924/
The Secret in Their Eyes,/title/tt1305806/
Sicario,/title/tt3397884/
No,/title/tt2059255/
Donnie Darko,/title/tt0246578/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
The Social Network,/title/tt1285016/
Whiplash,/title/tt2582802/
Ex Machina,/title/tt0470752/
Inside Out,/title/tt2096673/
Animal Kingdom,/title/tt5574490/
Apocalypto,/title/tt0472043/
Three Monkeys,/title/tt1233381/
WALL-E,/title/tt0910970/
Listen to Me Marlon,/title/tt4145178/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
Talladega Nights: The Ballad of Ricky Bobby,/title/tt0415306/
Centochiodi,/title/tt0985597/
United 93,/title/tt0475276/
Zodiac,/title/tt0443706/
Bridesmaids,/title/tt1478338/
WALL-E,/title/tt0910970/
Brooklyn,/title/tt2381111/
The Look of Silence,/title/tt3521134/
Punch-Drunk Love,/title/tt0272338/
12 Years a Slave,/title/tt2024544/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
We Need to Talk About Kevin,/title/tt1242460/
Far From Heaven,/title/tt0297884/
Chuck & Buck,/title/tt0934814/
Gladiator,/title/tt0172495/
The Century of the Self,/title/tt0432232/
Moulin Rouge!,/title/tt0203009/
Munich,/title/tt0408306/
Casino Royale,/title/tt0381061/
Lilya 4-Ever,/title/tt0300140/
Sideways,/title/tt0375063/
Inglourious Basterds,/title/tt0361748/
Mulholland Drive,/title/tt0166924/
In the Mood for Love,/title/tt0118694/
The New World,/title/tt0402399/
Certified Copy,/title/tt1020773/
Femme Fatale,/title/tt0280665/
Margaret,/title/tt3777860/
Under the Skin,/title/tt1441395/
This Is Not a Film,/title/tt1667905/
Two Lovers,/title/tt1103275/
Heart of a Dog,/title/tt0096126/
In the Mood for Love,/title/tt0118694/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
A Separation,/title/tt1832382/
Son of Saul,/title/tt3808342/
